Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11519224,10854312
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6001732,5815894
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5302469,3446635
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3929948,3761859
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2778880,1893995
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,532648,541160
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,482544,471585
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399423,386851
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366126,359852
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202059,108477
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176377,168552
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153007,143192
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,138872,145936
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,126704,124046
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66614,25338
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62509,56186
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44072,15050
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,33043,46946
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,20880,38084
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12862,11665
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8968,5039
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2151,1843
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,574,918
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,246,635
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,10998036,10818381
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,5748460,5832752
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4158856,3268580
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4058110,3687797
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2278901,1797769
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,570391,533852
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,506651,462819
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,431531,375681
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385345,353479
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,189970,88104
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,164702,169515
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,147649,142078
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,145083,146149
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133115,121779
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,59623,55327
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52284,45612
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50585,19026
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44853,36391
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,29798,11363
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,9233,12273
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8096,4275
US-Canada Border,05/01/2019 12:00:00 AM,Trains,1970,1811
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,968,906
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,920,564
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,10485708,10929272
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,5656751,5891420
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,4232936,3506084
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,3756540,3105927
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2020261,1723605
US-Mexico Border,04/01/2019 12:00:00 AM,Trucks,523607,537267
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,480453,456941
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,395755,368990
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,369314,348200
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,193892,161390
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,139010,143100
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,134149,150150
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,122011,121701
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,120373,77348
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,60712,53532
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,50626,43941
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,41690,34625
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,31199,14968
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,12695,12133
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,12689,10921
US-Canada Border,04/01/2019 12:00:00 AM,Buses,5048,4017
US-Canada Border,04/01/2019 12:00:00 AM,Trains,1830,1805
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,917,902
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,823,477
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11369171,10709322
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6349409,5662425
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4051156,3233548
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3618844,2849468
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1990949,1589933
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,557357,527223
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488019,441402
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366576,339013
